Airline,Date,Flight_Duration,Stops,Time_total,class_type,Flight_price
Delta,2023-12-06,6h 48mMDW-SFO,1 stop,6:28 am – 11:16 am,Basic Economy,$119
American Airlines,2023-12-06,6h 50mORD-SFO,1 stop,7:15 am – 12:05 pm,Basic Economy,$119
United Airlines,2023-12-06,6h 47mORD-SFO,1 stop,7:10 am – 11:57 am,Basic Economy,$119
Frontier,2023-12-07,4h 58mMDW-SFO,nonstop,6:35 pm – 9:33 pm,Economy,$54
Frontier,2023-12-07,4h 58mMDW-SFO,nonstop,6:35 pm – 9:33 pm,Economy,$49
United Airlines,2023-12-07,4h 39mORD-SFO,nonstop,4:05 pm – 6:44 pm,Basic Economy,$119
United Airlines,2023-12-07,4h 47mORD-SFO,nonstop,7:45 pm – 10:32 pm,Basic Economy,$119
United Airlines,2023-12-07,4h 47mORD-SFO,nonstop,2:07 pm – 4:54 pm,Basic Economy,$119
United Airlines,2023-12-07,4h 48mORD-SFO,nonstop,7:00 am – 9:48 am,Basic Economy,$119
United Airlines,2023-12-07,4h 49mORD-SFO,nonstop,12:46 pm – 3:35 pm,Basic Economy,$119
American Airlines,2023-12-07,4h 50mORD-SFO,nonstop,1:33 pm – 4:23 pm,Basic Economy,$119
American Airlines,2023-12-07,4h 52mORD-SFO,nonstop,8:45 am – 11:37 am,Basic Economy,$119
American Airlines,2023-12-07,5h 01mORD-SFO,nonstop,6:55 pm – 9:56 pm,Basic Economy,$119
Alaska Airlines,2023-12-07,5h 00mORD-SFO,nonstop,2:34 pm – 5:34 pm,Saver,$119
United Airlines,2023-12-07,4h 51mORD-SFO,nonstop,11:05 am – 1:56 pm,Basic Economy,$149
United Airlines,2023-12-07,4h 44mORD-SFO,nonstop,9:05 am – 11:49 am,Basic Economy,$187
United Airlines,2023-12-07,4h 52mORD-SFO,nonstop,6:00 pm – 8:52 pm,Basic Economy,$187
United Airlines,2023-12-07,6h 31mORD-SFO,1 stop,3:55 pm – 8:26 pm,Basic Economy,$129
Frontier,2023-12-07,9h 12mMDW-SFO,1 stop,8:45 am – 3:57 pm,Economy,$99
Frontier,2023-12-08,4h 58mMDW-SFO,nonstop,6:35 pm – 9:33 pm,Economy,$64
Frontier,2023-12-08,4h 58mMDW-SFO,nonstop,6:35 pm – 9:33 pm,Economy,$59
United Airlines,2023-12-08,4h 47mORD-SFO,nonstop,7:45 pm – 10:32 pm,Basic Economy,$129
United Airlines,2023-12-08,4h 47mORD-SFO,nonstop,2:07 pm – 4:54 pm,Basic Economy,$129
American Airlines,2023-12-08,4h 50mORD-SFO,nonstop,1:33 pm – 4:23 pm,Basic Economy,$129
American Airlines,2023-12-08,4h 52mORD-SFO,nonstop,8:45 am – 11:37 am,Basic Economy,$129
American Airlines,2023-12-08,5h 01mORD-SFO,nonstop,6:55 pm – 9:56 pm,Basic Economy,$129
Alaska Airlines,2023-12-08,5h 00mORD-SFO,nonstop,2:34 pm – 5:34 pm,Saver,$129
United Airlines,2023-12-08,4h 49mORD-SFO,nonstop,12:46 pm – 3:35 pm,Basic Economy,$143
United Airlines,2023-12-08,4h 39mORD-SFO,nonstop,4:05 pm – 6:44 pm,Basic Economy,$149
United Airlines,2023-12-08,4h 48mORD-SFO,nonstop,7:00 am – 9:48 am,Basic Economy,$182
United Airlines,2023-12-08,4h 44mORD-SFO,nonstop,9:05 am – 11:49 am,Basic Economy,$187
United Airlines,2023-12-08,4h 51mORD-SFO,nonstop,11:05 am – 1:56 pm,Basic Economy,$187
United Airlines,2023-12-08,4h 52mORD-SFO,nonstop,6:00 pm – 8:52 pm,Basic Economy,$187
Frontier,2023-12-08,8h 45mMDW-SFO,1 stop,11:09 am – 5:54 pm,Economy,$82
United Airlines,2023-12-08,6h 31mORD-SFO,1 stop,3:55 pm – 8:26 pm,Basic Economy,$139
Frontier,2023-12-09,4h 58mMDW-SFO,nonstop,6:35 pm – 9:33 pm,Economy,$44
Frontier,2023-12-09,4h 58mMDW-SFO,nonstop,6:35 pm – 9:33 pm,Economy,$39
United Airlines,2023-12-09,4h 47mORD-SFO,nonstop,7:45 pm – 10:32 pm,Basic Economy,$109
United Airlines,2023-12-09,4h 48mORD-SFO,nonstop,4:05 pm – 6:53 pm,Basic Economy,$109
American Airlines,2023-12-09,4h 50mORD-SFO,nonstop,1:33 pm – 4:23 pm,Basic Economy,$109
United Airlines,2023-12-09,4h 55mORD-SFO,nonstop,6:17 pm – 9:12 pm,Basic Economy,$109
Alaska Airlines,2023-12-09,5h 00mORD-SFO,nonstop,2:34 pm – 5:34 pm,Saver,$109
American Airlines,2023-12-09,5h 01mORD-SFO,nonstop,6:55 pm – 9:56 pm,Basic Economy,$109
United Airlines,2023-12-09,4h 49mORD-SFO,nonstop,12:46 pm – 3:35 pm,Basic Economy,$181
United Airlines,2023-12-09,4h 44mORD-SFO,nonstop,9:05 am – 11:49 am,Basic Economy,$189
Frontier,2023-12-09,8h 45mMDW-SFO,1 stop,11:09 am – 5:54 pm,Economy,$56
Frontier,2023-12-09,7h 45mMDW-SFO,1 stop,8:55 am – 2:40 pm,Economy,$87
United Airlines,2023-12-09,6h 31mORD-SFO,1 stop,3:55 pm – 8:26 pm,Basic Economy,$119
United Airlines,2023-12-09,6h 45mORD-SFO,1 stop,12:55 pm – 5:40 pm,Basic Economy,$119
American Airlines,2023-12-09,6h 56mORD-SFO,1 stop,6:11 am – 11:07 am,Basic Economy,$119
Delta,2023-12-09,7h 02mMDW-SFO,1 stop,6:29 am – 11:31 am,Basic Economy,$119
Frontier,2023-12-10,4h 58mMDW-SFO,nonstop,6:35 pm – 9:33 pm,Economy,$74
Frontier,2023-12-10,4h 58mMDW-SFO,nonstop,6:35 pm – 9:33 pm,Economy,$69
American Airlines,2023-12-10,4h 52mORD-SFO,nonstop,8:45 am – 11:37 am,Basic Economy,$169
American Airlines,2023-12-10,5h 01mORD-SFO,nonstop,6:55 pm – 9:56 pm,Basic Economy,$204
Alaska Airlines,2023-12-10,5h 00mORD-SFO,nonstop,2:34 pm – 5:34 pm,Saver,$209
United Airlines,2023-12-10,4h 47mORD-SFO,nonstop,7:45 pm – 10:32 pm,Basic Economy,$217
United Airlines,2023-12-10,4h 52mORD-SFO,nonstop,6:00 pm – 8:52 pm,Basic Economy,$264
United Airlines,2023-12-10,4h 48mORD-SFO,nonstop,7:00 am – 9:48 am,Basic Economy,$271
United Airlines,2023-12-10,4h 49mORD-SFO,nonstop,12:46 pm – 3:35 pm,Basic Economy,$279
United Airlines,2023-12-10,4h 44mORD-SFO,nonstop,9:05 am – 11:49 am,Basic Economy,$279
United Airlines,2023-12-10,4h 51mORD-SFO,nonstop,2:07 pm – 4:58 pm,Basic Economy,$286
American Airlines,2023-12-10,4h 50mORD-SFO,nonstop,1:33 pm – 4:23 pm,Basic Economy,$314
United Airlines,2023-12-10,4h 51mORD-SFO,nonstop,11:05 am – 1:56 pm,Economy,$349
United Airlines,2023-12-10,4h 48mORD-SFO,nonstop,4:05 pm – 6:53 pm,Economy,$349
Delta,2023-12-10,6h 46mORD-SFO,1 stop,7:25 pm – 12:11 am+1,Basic Economy,$139
United Airlines,2023-12-10,7h 24mORD-SFO,1 stop,6:35 pm – 11:59 pm,Basic Economy,$153
Frontier,2023-12-11,4h 58mMDW-SFO,nonstop,6:35 pm – 9:33 pm,Economy,$54
Frontier,2023-12-11,4h 58mMDW-SFO,nonstop,6:35 pm – 9:33 pm,Economy,$49
United Airlines,2023-12-11,4h 47mORD-SFO,nonstop,7:45 pm – 10:32 pm,Basic Economy,$119
American Airlines,2023-12-11,5h 01mORD-SFO,nonstop,6:55 pm – 9:56 pm,Basic Economy,$119
Alaska Airlines,2023-12-11,5h 00mORD-SFO,nonstop,2:34 pm – 5:34 pm,Saver,$119
American Airlines,2023-12-11,4h 50mORD-SFO,nonstop,1:33 pm – 4:23 pm,Basic Economy,$119
United Airlines,2023-12-11,4h 52mORD-SFO,nonstop,6:00 pm – 8:52 pm,Basic Economy,$149
United Airlines,2023-12-11,4h 51mORD-SFO,nonstop,2:07 pm – 4:58 pm,Basic Economy,$149
American Airlines,2023-12-11,4h 52mORD-SFO,nonstop,8:45 am – 11:37 am,Basic Economy,$159
United Airlines,2023-12-11,4h 48mORD-SFO,nonstop,4:05 pm – 6:53 pm,Basic Economy,$171
United Airlines,2023-12-11,4h 49mORD-SFO,nonstop,12:46 pm – 3:35 pm,Basic Economy,$182
United Airlines,2023-12-11,4h 51mORD-SFO,nonstop,11:05 am – 1:56 pm,Basic Economy,$187
Frontier,2023-12-11,8h 33mMDW-SFO,1 stop,11:09 am – 5:42 pm,Economy,$79
Frontier,2023-12-11,7h 59mMDW-SFO,1 stop,8:40 am – 2:39 pm,Economy,$90
Delta,2023-12-11,6h 27mORD-SFO,1 stop,1:55 pm – 6:22 pm,Basic Economy,$129
United Airlines,2023-12-11,6h 31mORD-SFO,1 stop,3:55 pm – 8:26 pm,Basic Economy,$129
Frontier,2023-12-12,4h 58mMDW-SFO,nonstop,6:35 pm – 9:33 pm,Economy,$44
Frontier,2023-12-12,4h 58mMDW-SFO,nonstop,6:35 pm – 9:33 pm,Economy,$39
United Airlines,2023-12-12,4h 47mORD-SFO,nonstop,7:45 pm – 10:32 pm,Basic Economy,$109
Frontier,2023-12-12,7h 55mMDW-SFO,1 stop,8:45 am – 2:40 pm,Economy,$56
United Airlines,2023-12-12,4h 48mORD-SFO,nonstop,4:05 pm – 6:53 pm,Basic Economy,$109
United Airlines,2023-12-12,4h 52mORD-SFO,nonstop,6:00 pm – 8:52 pm,Basic Economy,$109
United Airlines,2023-12-12,4h 51mORD-SFO,nonstop,2:07 pm – 4:58 pm,Basic Economy,$109
American Airlines,2023-12-12,4h 50mORD-SFO,nonstop,1:33 pm – 4:23 pm,Basic Economy,$109
American Airlines,2023-12-12,5h 01mORD-SFO,nonstop,6:55 pm – 9:56 pm,Basic Economy,$109
United Airlines,2023-12-12,4h 49mORD-SFO,nonstop,12:46 pm – 3:35 pm,Basic Economy,$127
Alaska Airlines,2023-12-12,5h 00mORD-SFO,nonstop,2:34 pm – 5:34 pm,Saver,$109
United Airlines,2023-12-12,4h 44mORD-SFO,nonstop,9:05 am – 11:49 am,Basic Economy,$143
United Airlines,2023-12-12,6h 31mORD-SFO,1 stop,3:55 pm – 8:26 pm,Basic Economy,$119
United Airlines,2023-12-12,6h 45mORD-SFO,1 stop,12:55 pm – 5:40 pm,Basic Economy,$119
American Airlines,2023-12-12,6h 50mORD-SFO,1 stop,7:15 am – 12:05 pm,Basic Economy,$119
American Airlines,2023-12-12,6h 56mORD-SFO,1 stop,6:11 am – 11:07 am,Basic Economy,$119
Frontier,2023-12-13,4h 58mMDW-SFO,nonstop,6:35 pm – 9:33 pm,Economy,$44
Frontier,2023-12-13,4h 58mMDW-SFO,nonstop,6:35 pm – 9:33 pm,Economy,$39
United Airlines,2023-12-13,4h 47mORD-SFO,nonstop,7:45 pm – 10:32 pm,Basic Economy,$109
United Airlines,2023-12-13,4h 48mORD-SFO,nonstop,7:00 am – 9:48 am,Basic Economy,$109
American Airlines,2023-12-13,4h 50mORD-SFO,nonstop,1:33 pm – 4:23 pm,Basic Economy,$109
United Airlines,2023-12-13,4h 51mORD-SFO,nonstop,2:07 pm – 4:58 pm,Basic Economy,$109
American Airlines,2023-12-13,5h 01mORD-SFO,nonstop,6:55 pm – 9:56 pm,Basic Economy,$109
Alaska Airlines,2023-12-13,5h 00mORD-SFO,nonstop,2:34 pm – 5:34 pm,Saver,$109
United Airlines,2023-12-13,4h 49mORD-SFO,nonstop,12:46 pm – 3:35 pm,Basic Economy,$127
United Airlines,2023-12-13,4h 44mORD-SFO,nonstop,9:05 am – 11:49 am,Basic Economy,$143
United Airlines,2023-12-13,4h 52mORD-SFO,nonstop,4:05 pm – 6:57 pm,Basic Economy,$143
Frontier,2023-12-13,7h 45mMDW-SFO,1 stop,8:55 am – 2:40 pm,Economy,$56
Frontier,2023-12-13,8h 04mMDW-SFO,1 stop,6:00 am – 12:04 pm,Economy,$56
Delta,2023-12-13,6h 27mORD-SFO,1 stop,1:55 pm – 6:22 pm,Basic Economy,$119
United Airlines,2023-12-13,6h 31mORD-SFO,1 stop,3:55 pm – 8:26 pm,Basic Economy,$119
Delta,2023-12-13,6h 46mORD-SFO,1 stop,7:25 pm – 12:11 am+1,Basic Economy,$119
Frontier,2023-12-14,4h 58mMDW-SFO,nonstop,6:35 pm – 9:33 pm,Economy,$54
Frontier,2023-12-14,4h 58mMDW-SFO,nonstop,6:35 pm – 9:33 pm,Economy,$49
United Airlines,2023-12-14,4h 40mORD-SFO,nonstop,4:05 pm – 6:45 pm,Basic Economy,$119
United Airlines,2023-12-14,4h 41mORD-SFO,nonstop,2:20 pm – 5:01 pm,Basic Economy,$119
United Airlines,2023-12-14,4h 48mORD-SFO,nonstop,7:00 am – 9:48 am,Basic Economy,$119
United Airlines,2023-12-14,4h 49mORD-SFO,nonstop,12:46 pm – 3:35 pm,Basic Economy,$119
American Airlines,2023-12-14,4h 50mORD-SFO,nonstop,1:33 pm – 4:23 pm,Basic Economy,$119
United Airlines,2023-12-14,4h 51mORD-SFO,nonstop,11:05 am – 1:56 pm,Basic Economy,$119
American Airlines,2023-12-14,4h 52mORD-SFO,nonstop,8:45 am – 11:37 am,Basic Economy,$119
American Airlines,2023-12-14,5h 01mORD-SFO,nonstop,6:55 pm – 9:56 pm,Basic Economy,$119
Alaska Airlines,2023-12-14,4h 56mORD-SFO,nonstop,2:30 pm – 5:26 pm,Saver,$119
United Airlines,2023-12-14,4h 44mORD-SFO,nonstop,9:00 am – 11:44 am,Basic Economy,$138
United Airlines,2023-12-14,4h 47mORD-SFO,nonstop,7:50 pm – 10:37 pm,Basic Economy,$149
United Airlines,2023-12-14,4h 52mORD-SFO,nonstop,6:00 pm – 8:52 pm,Basic Economy,$187
Frontier,2023-12-14,8h 40mMDW-SFO,1 stop,11:14 am – 5:54 pm,Economy,$79
Frontier,2023-12-14,9h 12mMDW-SFO,1 stop,8:45 am – 3:57 pm,Economy,$90
Frontier,2023-12-15,4h 58mMDW-SFO,nonstop,6:35 pm – 9:33 pm,Economy,$64
Frontier,2023-12-15,4h 58mMDW-SFO,nonstop,6:35 pm – 9:33 pm,Economy,$59
American Airlines,2023-12-15,4h 50mORD-SFO,nonstop,1:33 pm – 4:23 pm,Basic Economy,$129
American Airlines,2023-12-15,5h 01mORD-SFO,nonstop,6:55 pm – 9:56 pm,Basic Economy,$129
United Airlines,2023-12-15,4h 49mORD-SFO,nonstop,12:46 pm – 3:35 pm,Basic Economy,$147
United Airlines,2023-12-15,4h 41mORD-SFO,nonstop,2:20 pm – 5:01 pm,Basic Economy,$171
United Airlines,2023-12-15,4h 48mORD-SFO,nonstop,4:10 pm – 6:58 pm,Basic Economy,$171
United Airlines,2023-12-15,4h 48mORD-SFO,nonstop,7:00 am – 9:48 am,Basic Economy,$143
United Airlines,2023-12-15,4h 51mORD-SFO,nonstop,11:05 am – 1:56 pm,Basic Economy,$149
Alaska Airlines,2023-12-15,4h 56mORD-SFO,nonstop,2:30 pm – 5:26 pm,Saver,$189
American Airlines,2023-12-15,7h 36mORD-SFO,1 stop,3:15 pm – 8:51 pm,Basic Economy,$139
American Airlines,2023-12-15,4h 52mORD-SFO,nonstop,8:45 am – 11:37 am,Basic Economy,$194
Delta,2023-12-15,6h 27mORD-SFO,1 stop,1:55 pm – 6:22 pm,Basic Economy,$139
United Airlines,2023-12-15,4h 47mORD-SFO,nonstop,7:50 pm – 10:37 pm,Basic Economy,$208
United Airlines,2023-12-15,4h 44mORD-SFO,nonstop,9:00 am – 11:44 am,Basic Economy,$208
Delta,2023-12-15,6h 55mORD-SFO,1 stop,7:25 pm – 12:20 am+1,Basic Economy,$139
Frontier,2023-12-16,4h 58mMDW-SFO,nonstop,6:35 pm – 9:33 pm,Economy,$39
Frontier,2023-12-16,9h 02mMDW-SFO,1 stop,11:09 am – 6:11 pm,Economy,$71
United Airlines,2023-12-16,4h 47mORD-SFO,nonstop,7:50 pm – 10:37 pm,Basic Economy,$143
United Airlines,2023-12-16,4h 50mORD-SFO,nonstop,7:00 am – 9:50 am,Basic Economy,$143
American Airlines,2023-12-16,6h 56mORD-SFO,1 stop,6:11 am – 11:07 am,Basic Economy,$119
American Airlines,2023-12-16,5h 01mORD-SFO,nonstop,6:55 pm – 9:56 pm,Basic Economy,$159
United Airlines,2023-12-16,4h 42mORD-SFO,nonstop,9:00 pm – 11:42 pm,Economy,$154
United Airlines,2023-12-16,4h 52mORD-SFO,nonstop,6:00 pm – 8:52 pm,Basic Economy,$173
United Airlines,2023-12-16,4h 48mORD-SFO,nonstop,4:05 pm – 6:53 pm,Basic Economy,$175
"Spirit Airlines, Frontier",2023-12-16,9h 51mORD-SFO,1 stop,10:48 pm – 6:39 am+1,Economy,$72
United Airlines,2023-12-16,8h 00mORD-SFO,1 stop,12:46 pm – 6:46 pm,Basic Economy,$136
United Airlines,2023-12-16,4h 45mORD-SFO,nonstop,9:00 am – 11:45 am,Basic Economy,$186
Delta,2023-12-16,7h 36mORD-SFO,1 stop,6:03 am – 11:39 am,Basic Economy,$119
United Airlines,2023-12-16,4h 41mORD-SFO,nonstop,2:20 pm – 5:01 pm,Basic Economy,$189
United Airlines,2023-12-16,10h 11mORD-SFO,1 stop,10:35 am – 6:46 pm,Basic Economy,$119
Frontier,2023-12-17,4h 58mMDW-SFO,nonstop,6:35 pm – 9:33 pm,Economy,$74
Frontier,2023-12-17,4h 58mMDW-SFO,nonstop,6:35 pm – 9:33 pm,Economy,$69
United Airlines,2023-12-17,4h 47mORD-SFO,nonstop,7:50 pm – 10:37 pm,Basic Economy,$149
United Airlines,2023-12-17,4h 52mORD-SFO,nonstop,6:00 pm – 8:52 pm,Basic Economy,$149
Alaska Airlines,2023-12-17,4h 56mORD-SFO,nonstop,2:30 pm – 5:26 pm,Saver,$159
United Airlines,2023-12-17,4h 39mORD-SFO,nonstop,4:05 pm – 6:44 pm,Basic Economy,$171
United Airlines,2023-12-17,4h 41mORD-SFO,nonstop,2:20 pm – 5:01 pm,Basic Economy,$171
United Airlines,2023-12-17,4h 51mORD-SFO,nonstop,11:05 am – 1:56 pm,Basic Economy,$187
United Airlines,2023-12-17,4h 49mORD-SFO,nonstop,12:46 pm – 3:35 pm,Basic Economy,$187
United Airlines,2023-12-17,4h 44mORD-SFO,nonstop,9:00 am – 11:44 am,Basic Economy,$187
American Airlines,2023-12-17,4h 52mORD-SFO,nonstop,8:45 am – 11:37 am,Basic Economy,$204
American Airlines,2023-12-17,4h 50mORD-SFO,nonstop,1:33 pm – 4:23 pm,Basic Economy,$204
American Airlines,2023-12-17,5h 01mORD-SFO,nonstop,6:55 pm – 9:56 pm,Basic Economy,$255
United Airlines,2023-12-17,4h 50mORD-SFO,nonstop,7:00 am – 9:50 am,Basic Economy,$279
Frontier,2023-12-17,8h 33mMDW-SFO,1 stop,11:09 am – 5:42 pm,Economy,$79
American Airlines,2023-12-17,7h 05mORD-SFO,1 stop,8:35 am – 1:40 pm,Basic Economy,$149
Frontier,2023-12-18,4h 58mMDW-SFO,nonstop,6:35 pm – 9:33 pm,Economy,$79
American Airlines,2023-12-18,4h 50mORD-SFO,nonstop,1:33 pm – 4:23 pm,Basic Economy,$119
American Airlines,2023-12-18,4h 52mORD-SFO,nonstop,8:45 am – 11:37 am,Basic Economy,$119
Alaska Airlines,2023-12-18,4h 56mORD-SFO,nonstop,2:30 pm – 5:26 pm,Saver,$119
American Airlines,2023-12-18,5h 01mORD-SFO,nonstop,6:55 pm – 9:56 pm,Basic Economy,$159
United Airlines,2023-12-18,4h 47mORD-SFO,nonstop,7:50 pm – 10:37 pm,Basic Economy,$171
United Airlines,2023-12-18,6h 31mORD-SFO,1 stop,3:55 pm – 8:26 pm,Basic Economy,$129
United Airlines,2023-12-18,4h 51mORD-SFO,nonstop,11:05 am – 1:56 pm,Basic Economy,$171
United Airlines,2023-12-18,4h 41mORD-SFO,nonstop,2:20 pm – 5:01 pm,Basic Economy,$176
United Airlines,2023-12-18,4h 39mORD-SFO,nonstop,4:05 pm – 6:44 pm,Basic Economy,$182
United Airlines,2023-12-18,4h 49mORD-SFO,nonstop,12:46 pm – 3:35 pm,Basic Economy,$182
United Airlines,2023-12-18,7h 00mORD-SFO,1 stop,3:55 pm – 8:55 pm,Basic Economy,$129
United Airlines,2023-12-18,4h 52mORD-SFO,nonstop,6:00 pm – 8:52 pm,Basic Economy,$187
American Airlines,2023-12-18,7h 05mORD-SFO,1 stop,8:35 am – 1:40 pm,Basic Economy,$129
United Airlines,2023-12-18,7h 18mORD-SFO,1 stop,5:53 pm – 11:11 pm,Basic Economy,$129
Frontier,2023-12-19,4h 58mMDW-SFO,nonstop,6:35 pm – 9:33 pm,Economy,$61
United Airlines,2023-12-19,4h 49mORD-SFO,nonstop,12:46 pm – 3:35 pm,Basic Economy,$127
United Airlines,2023-12-19,4h 41mORD-SFO,nonstop,2:20 pm – 5:01 pm,Basic Economy,$137
United Airlines,2023-12-19,4h 39mORD-SFO,nonstop,4:05 pm – 6:44 pm,Basic Economy,$143
United Airlines,2023-12-19,4h 45mORD-SFO,nonstop,9:00 am – 11:45 am,Basic Economy,$143
American Airlines,2023-12-19,6h 56mORD-SFO,1 stop,6:11 am – 11:07 am,Basic Economy,$119
United Airlines,2023-12-19,7h 18mORD-SFO,1 stop,5:53 pm – 11:11 pm,Basic Economy,$119
United Airlines,2023-12-19,4h 47mORD-SFO,nonstop,7:50 pm – 10:37 pm,Basic Economy,$173
United Airlines,2023-12-19,4h 52mORD-SFO,nonstop,6:00 pm – 8:52 pm,Basic Economy,$173
American Airlines,2023-12-19,7h 35mORD-SFO,1 stop,12:10 pm – 5:45 pm,Basic Economy,$119
United Airlines,2023-12-19,4h 50mORD-SFO,nonstop,7:00 am – 9:50 am,Basic Economy,$173
Delta,2023-12-19,6h 25mORD-SFO,1 stop,2:00 pm – 6:25 pm,Basic Economy,$119
United Airlines,2023-12-19,6h 41mORD-SFO,1 stop,7:10 am – 11:51 am,Basic Economy,$148
American Airlines,2023-12-19,4h 50mORD-SFO,nonstop,1:33 pm – 4:23 pm,Basic Economy,$194
American Airlines,2023-12-19,8h 52mORD-SFO,1 stop,10:53 am – 5:45 pm,Basic Economy,$119
Frontier,2023-12-20,4h 58mMDW-SFO,nonstop,6:35 pm – 9:33 pm,Economy,$129
Frontier,2023-12-20,4h 58mMDW-SFO,nonstop,6:35 pm – 9:33 pm,Economy,$111
Frontier,2023-12-20,36h 14mMDW-SFO,2 stops,7:40 am – 5:54 pm+1,Economy,$97
United Airlines,2023-12-20,4h 41mORD-SFO,nonstop,2:20 pm – 5:01 pm,Basic Economy,$189
United Airlines,2023-12-20,4h 48mORD-SFO,nonstop,7:00 am – 9:48 am,Basic Economy,$189
American Airlines,2023-12-20,4h 56mORD-SFO,nonstop,2:15 pm – 5:11 pm,Basic Economy,$194
American Airlines,2023-12-20,4h 51mORD-SFO,nonstop,9:55 am – 12:46 pm,Basic Economy,$194
Alaska Airlines,2023-12-20,4h 56mORD-SFO,nonstop,2:30 pm – 5:26 pm,Saver,$209
United Airlines,2023-12-20,4h 39mORD-SFO,nonstop,4:05 pm – 6:44 pm,Basic Economy,$210
United Airlines,2023-12-20,4h 52mORD-SFO,nonstop,6:00 pm – 8:52 pm,Basic Economy,$210
United Airlines,2023-12-20,4h 45mORD-SFO,nonstop,9:00 am – 11:45 am,Basic Economy,$210
United Airlines,2023-12-20,4h 47mORD-SFO,nonstop,7:50 pm – 10:37 pm,Basic Economy,$217
United Airlines,2023-12-20,4h 49mORD-SFO,nonstop,12:46 pm – 3:35 pm,Basic Economy,$228
Frontier,2023-12-20,9h 14mMDW-SFO,1 stop,11:07 am – 6:21 pm,Economy,$149
"Spirit Airlines, Frontier",2023-12-20,10h 55mORD-SFO,1 stop,9:25 am – 6:20 pm,Economy,$127
American Airlines,2023-12-20,8h 10mORD-SFO,1 stop,6:00 am – 12:10 pm,Basic Economy,$169
United Airlines,2023-12-20,6h 31mORD-SFO,1 stop,3:55 pm – 8:26 pm,Basic Economy,$199
Frontier,2023-12-21,4h 58mMDW-SFO,nonstop,6:35 pm – 9:33 pm,Economy,$160
Frontier,2023-12-21,13h 27mMDW-SFO,1 stop,11:15 pm – 10:42 am+1,Economy,$105
United Airlines,2023-12-21,4h 55mORD-SFO,nonstop,7:10 am – 10:05 am,Basic Economy,$210
United Airlines,2023-12-21,4h 50mORD-SFO,nonstop,6:15 am – 9:05 am,Basic Economy,$217
United Airlines,2023-12-21,4h 47mORD-SFO,nonstop,8:06 pm – 10:53 pm,Basic Economy,$228
United Airlines,2023-12-21,4h 45mORD-SFO,nonstop,8:45 am – 11:30 am,Basic Economy,$228
Alaska Airlines,2023-12-21,4h 56mORD-SFO,nonstop,2:30 pm – 5:26 pm,Saver,$209
United Airlines,2023-12-21,4h 52mORD-SFO,nonstop,9:05 pm – 11:57 pm,Basic Economy,$210
United Airlines,2023-12-21,4h 44mORD-SFO,nonstop,3:55 pm – 6:39 pm,Basic Economy,$263
United Airlines,2023-12-21,4h 57mORD-SFO,nonstop,6:18 pm – 9:15 pm,Basic Economy,$263
United Airlines,2023-12-21,4h 54mORD-SFO,nonstop,10:50 am – 1:44 pm,Basic Economy,$282
Delta,2023-12-21,6h 25mORD-SFO,1 stop,2:00 pm – 6:25 pm,Basic Economy,$189
American Airlines,2023-12-21,7h 12mORD-SFO,1 stop,6:00 am – 11:12 am,Basic Economy,$205
United Airlines,2023-12-21,6h 38mORD-SFO,1 stop,7:10 am – 11:48 am,Basic Economy,$229
American Airlines,2023-12-21,4h 51mORD-SFO,nonstop,9:55 am – 12:46 pm,Main Cabin,$329
American Airlines,2023-12-21,4h 56mORD-SFO,nonstop,2:15 pm – 5:11 pm,Main Cabin,$329
Frontier,2023-12-22,26h 15mMDW-SFO,1 stop,7:45 am – 8:00 am+1,Economy,$153
Frontier,2023-12-22,4h 58mMDW-SFO,nonstop,6:35 pm – 9:33 pm,Economy,$219
Frontier,2023-12-22,18h 19mMDW-SFO,1 stop,7:45 am – 12:04 am+1,Economy,$114
United Airlines,2023-12-22,4h 50mORD-SFO,nonstop,7:10 am – 10:00 am,Basic Economy,$264
United Airlines,2023-12-22,4h 47mORD-SFO,nonstop,8:06 pm – 10:53 pm,Basic Economy,$275
United Airlines,2023-12-22,4h 45mORD-SFO,nonstop,8:45 am – 11:30 am,Basic Economy,$275
United Airlines,2023-12-22,4h 44mORD-SFO,nonstop,3:55 pm – 6:39 pm,Basic Economy,$296
United Airlines,2023-12-22,4h 54mORD-SFO,nonstop,10:50 am – 1:44 pm,Basic Economy,$308
Alaska Airlines,2023-12-22,4h 56mORD-SFO,nonstop,2:30 pm – 5:26 pm,Saver,$289
American Airlines,2023-12-22,4h 56mORD-SFO,nonstop,2:15 pm – 5:11 pm,Main Cabin,$329
United Airlines,2023-12-22,4h 52mORD-SFO,nonstop,9:05 pm – 11:57 pm,Basic Economy,$296
United Airlines,2023-12-22,4h 57mORD-SFO,nonstop,6:18 pm – 9:15 pm,Economy,$373
American Airlines,2023-12-22,4h 51mORD-SFO,nonstop,9:55 am – 12:46 pm,Main Cabin,$374
United Airlines,2023-12-22,6h 38mORD-SFO,1 stop,7:10 am – 11:48 am,Basic Economy,$306
United Airlines,2023-12-22,4h 53mORD-SFO,nonstop,12:45 pm – 3:38 pm,Economy,$399
American Airlines,2023-12-22,6h 56mORD-SFO,1 stop,8:01 pm – 12:57 am+1,Main Cabin,$339
United Airlines,2023-12-22,6h 31mORD-SFO,1 stop,5:50 pm – 10:21 pm,Economy,$391
Frontier,2023-12-23,13h 27mMDW-SFO,1 stop,11:15 pm – 10:42 am+1,Economy,$110
